insert into employees (fullname, age, emp_joining_date) values ('Fritz Huckett', 45, 2015);
insert into employees (fullname, age, emp_joining_date) values ('Ronnica Doodson', 39, 1983);
insert into employees (fullname, age, emp_joining_date) values ('Melinde Banton', 16, 1986);
insert into employees (fullname, age, emp_joining_date) values ('Aaron Triggel', 16, 2002);
insert into employees (fullname, age, emp_joining_date) values ('Ranna Crayker', 34, 1996);
insert into employees (fullname, age, emp_joining_date) values ('Enrico Eckford', 44, 2020);
insert into employees (fullname, age, emp_joining_date) values ('Shanta Hover', 20, 1971);
insert into employees (fullname, age, emp_joining_date) values ('Niles Berndtsson', 32, 2015);
insert into employees (fullname, age, emp_joining_date) values ('Meredith Grouvel', 42, 2017);
insert into employees (fullname, age, emp_joining_date) values ('Adel Dysert', 16, 1990);
insert into employees (fullname, age, emp_joining_date) values ('Alfy Haet', 27, 2002);
insert into employees (fullname, age, emp_joining_date) values ('Gherardo Gibberd', 42, 2020);
insert into employees (fullname, age, emp_joining_date) values ('Galvin Drinan', 30, 2010);
insert into employees (fullname, age, emp_joining_date) values ('Brandyn MacGorrie', 16, 2004);
insert into employees (fullname, age, emp_joining_date) values ('Denna Cowton', 32, 2003);
insert into employees (fullname, age, emp_joining_date) values ('Orazio Poulston', 33, 1991);
insert into employees (fullname, age, emp_joining_date) values ('Dal Fernao', 18, 2019);
insert into employees (fullname, age, emp_joining_date) values ('Tara Elgey', 36, 2008);
insert into employees (fullname, age, emp_joining_date) values ('Gale Unitt', 37, 1989);
insert into employees (fullname, age, emp_joining_date) values ('Rena Creany', 43, 1980);
insert into employees (fullname, age, emp_joining_date) values ('Langston McIlwain', 17, 2019);
insert into employees (fullname, age, emp_joining_date) values ('Gladi Aers', 15, 2011);
insert into employees (fullname, age, emp_joining_date) values ('Troy Cassius', 36, 1981);
insert into employees (fullname, age, emp_joining_date) values ('Moishe Huntington', 18, 1998);
insert into employees (fullname, age, emp_joining_date) values ('Corrina Curwen', 25, 1993);
insert into employees (fullname, age, emp_joining_date) values ('Seth Guesford', 39, 1984);
insert into employees (fullname, age, emp_joining_date) values ('Isac Trewartha', 38, 2009);
insert into employees (fullname, age, emp_joining_date) values ('Walker Kocher', 26, 2022);
insert into employees (fullname, age, emp_joining_date) values ('Adair MacAirt', 42, 1976);
insert into employees (fullname, age, emp_joining_date) values ('Crystal Pettis', 22, 1998);
insert into employees (fullname, age, emp_joining_date) values ('Vale Trye', 31, 1986);
insert into employees (fullname, age, emp_joining_date) values ('Clarke Leak', 40, 1998);
insert into employees (fullname, age, emp_joining_date) values ('Alli Weeden', 23, 1988);
insert into employees (fullname, age, emp_joining_date) values ('Garvey Morfey', 38, 2014);
insert into employees (fullname, age, emp_joining_date) values ('Torre Cousen', 24, 1971);
insert into employees (fullname, age, emp_joining_date) values ('Kim Degenhardt', 34, 2002);
insert into employees (fullname, age, emp_joining_date) values ('Trina Gobbett', 31, 2001);
insert into employees (fullname, age, emp_joining_date) values ('Kirbie Borge', 34, 2018);
insert into employees (fullname, age, emp_joining_date) values ('Eydie Coping', 44, 2014);
insert into employees (fullname, age, emp_joining_date) values ('Larine Bruggen', 28, 2017);
insert into employees (fullname, age, emp_joining_date) values ('Netti Brennon', 24, 2019);
insert into employees (fullname, age, emp_joining_date) values ('Daryl Dable', 41, 1974);
insert into employees (fullname, age, emp_joining_date) values ('Fredra Freschini', 19, 1989);
insert into employees (fullname, age, emp_joining_date) values ('Nichole Ryott', 41, 1986);
insert into employees (fullname, age, emp_joining_date) values ('Hynda Rioch', 43, 2008);
insert into employees (fullname, age, emp_joining_date) values ('Abbot Atto', 26, 1995);
insert into employees (fullname, age, emp_joining_date) values ('Antonella Bruyet', 45, 1980);
insert into employees (fullname, age, emp_joining_date) values ('Lawry Murdie', 36, 2000);
insert into employees (fullname, age, emp_joining_date) values ('Kathryn Vedekhov', 43, 2005);
insert into employees (fullname, age, emp_joining_date) values ('Donnajean Woolmore', 45, 2013);
insert into employees (fullname, age, emp_joining_date) values ('Tisha Pavie', 25, 2003);
insert into employees (fullname, age, emp_joining_date) values ('Austine Booy', 38, 2015);
insert into employees (fullname, age, emp_joining_date) values ('Daniella Trigg', 42, 1988);
insert into employees (fullname, age, emp_joining_date) values ('Janie Neligan', 26, 2000);
insert into employees (fullname, age, emp_joining_date) values ('Sargent Leglise', 31, 2010);
insert into employees (fullname, age, emp_joining_date) values ('Bevin Smeall', 36, 1977);
insert into employees (fullname, age, emp_joining_date) values ('Cammy Chaffyn', 38, 2015);
insert into employees (fullname, age, emp_joining_date) values ('Christa Marjanovic', 27, 1997);
insert into employees (fullname, age, emp_joining_date) values ('Hussein Duesbury', 33, 2014);
